Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	CCRT	Vieira	F	AK	AK1	1726.80474233432	141.123617816892
lmer_pop	CCRT	Vieira	F	AK	AK10	1454.36874233432	141.379994687113
lmer_pop	CCRT	Vieira	F	AK	AK11	1543.10174233432	140.892271419437
lmer_pop	CCRT	Vieira	F	AK	AK12	1424.49274233432	141.379994687113
lmer_pop	CCRT	Vieira	F	AK	AK13	1478.46674233432	145.31966462502
lmer_pop	CCRT	Vieira	F	AK	AK14	1759.09774233432	140.892271419437
lmer_pop	CCRT	Vieira	F	AK	AK15	1739.00874233432	150.239127732186
lmer_pop	CCRT	Vieira	F	AK	AK16	1421.05974233432	141.287400095437
lmer_pop	CCRT	Vieira	F	AK	AK17	1513.67574233432	141.287400095437
lmer_pop	CCRT	Vieira	F	AK	AK18	1360.77674233432	140.892271419437
lmer_pop	CCRT	Vieira	F	AK	AK19	1454.56374233432	150.099983803224
lmer_pop	CCRT	Vieira	F	AK	AK2	1571.85474233432	141.379994687113
lmer_pop	CCRT	Vieira	F	AK	AK20	1667.73574233432	141.614222812287
lmer_pop	CCRT	Vieira	F	AK	AK3	1552.39274233432	141.123617816892
lmer_pop	CCRT	Vieira	F	AK	AK4	1470.07274233432	141.287400095437
lmer_pop	CCRT	Vieira	F	AK	AK5	1678.19574233432	141.123617816892
lmer_pop	CCRT	Vieira	F	AK	AK6	1518.96374233432	141.123617816892
lmer_pop	CCRT	Vieira	F	AK	AK7	1933.83274233432	140.892271419437
lmer_pop	CCRT	Vieira	F	AK	AK8	1592.92874233432	141.379994687113
lmer_pop	CCRT	Vieira	F	AK	AK9	1779.04174233432	140.892271419437
lmer_pop	CCRT	Vieira	F	GI	GI1	1470.6025044929	146.991958157226
lmer_pop	CCRT	Vieira	F	GI	GI10	1559.5035044929	146.991958157226
lmer_pop	CCRT	Vieira	F	GI	GI11	1627.7525044929	147.190684351611
lmer_pop	CCRT	Vieira	F	GI	GI12	1382.4695044929	147.684094336173
lmer_pop	CCRT	Vieira	F	GI	GI13	1376.7755044929	146.991958157226
lmer_pop	CCRT	Vieira	F	GI	GI15	1637.3085044929	147.370733332286
lmer_pop	CCRT	Vieira	F	GI	GI2	1587.5655044929	147.684094336173
lmer_pop	CCRT	Vieira	F	GI	GI3	1481.4225044929	146.991958157226
lmer_pop	CCRT	Vieira	F	GI	GI4	1841.0655044929	146.991958157226
lmer_pop	CCRT	Vieira	F	GI	GI5	1351.1785044929	146.991958157226
lmer_pop	CCRT	Vieira	F	GI	GI7	1421.0425044929	147.190684351611
lmer_pop	CCRT	Vieira	F	GI	GI8	1460.1105044929	147.213719207469
lmer_pop	CCRT	Vieira	F	GI	GI9	1653.0135044929	147.213719207469
lmer_pop	CCRT	Vieira	F	KA	KA1	1377.92975795027	145.070014491453
lmer_pop	CCRT	Vieira	F	KA	KA10	1361.87675795027	145.270871331972
lmer_pop	CCRT	Vieira	F	KA	KA11	1376.59675795027	140.934480041438
lmer_pop	CCRT	Vieira	F	KA	KA13	1391.93875795027	140.934480041438
lmer_pop	CCRT	Vieira	F	KA	KA14	1340.33275795027	145.070014491453
lmer_pop	CCRT	Vieira	F	KA	KA15	1460.82475795027	140.698437633651
