"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","F","AK",24.0152248803828,11.6838186370886,22.139,1.386,66.179,0.808186634446217,0.486517144656542,13.643
"Gibert","F","GI",23.00330625,9.7167103706776,22.766,5.613,80.251,0.768173403388005,0.422404947579116,23.068
"Gibert","F","KA",20.3843333333333,8.70655370123404,19.268,5.608,48.823,0.600809284978631,0.427119864989487,12.558
"Gibert","F","MA",23.4927193877551,10.6379971055781,23.3525,0.536,54.475,0.759856936112724,0.452821017864917,33.436
"Gibert","F","MU",24.8573684210526,9.85714919502776,23.257,3.618,56.203,0.681833267068654,0.396548380667656,21.221
"Gibert","F","RE",19.3832117647059,9.8112279492452,18.1375,2.872,52.304,0.752486833467185,0.506171426507864,28.626
"Gibert","F","UM",24.3295315789474,11.189175677188,22.5855,2.838,56.85,0.811748121210853,0.45990099073137,17.247
"Gibert","F","VA",24.142015,10.2608445784002,23.401,3.793,53.013,0.725551278208802,0.425020222147995,31.724
"Gibert","F","YE",25.1372182741117,11.1782702833955,24.037,2.639,56.181,0.796418781659447,0.444690027412772,40.258
"Schmidt","F","AK",22.7,10.4043863961988,20,0,50,0.735701217483725,0.458343013048406,30
"Schmidt","F","GI",20.1666666666667,9.43650459903555,20,0,50,0.861431072148835,0.46792584788606,10
"Schmidt","F","KA",24.9473684210526,12.2904603786259,20,0,100,0.891643710761122,0.492655584797243,20
"Schmidt","F","MA",28.1967213114754,12.0677842938364,30,10,70,0.89207628432954,0.427985373211641,30
"Schmidt","F","MU",22.741116751269,9.61498536891569,20,10,60,0.685039343212156,0.422801811981337,20
"Schmidt","F","RE",25.5555555555556,13.4197201494252,30,0,60,1.19552369108419,0.525119484107943,30
"Schmidt","F","UM",28.013698630137,9.86948365443206,30,10,70,0.816804278987279,0.352309196466279,30
"Schmidt","F","VA",16.3690476190476,9.56700888301975,10,0,50,0.738110759883519,0.584457269944479,10
"Schmidt","F","YE",24.5108695652174,11.8635176320451,30,0,60,0.87459012327342,0.484010475453724,30
"Abbott","F","AK",14.2442846153846,6.31054960279512,13.6005,1.424,53.584,0.391363672547364,0.4430232737683,12.942
"Abbott","F","GI",13.2525421686747,6.41091102456411,12.332,2.349,36.201,0.497583196197196,0.483749528427664,17.652
"Abbott","F","KA",10.0886814159292,8.26939904925569,6.776,0.068,40.919,0.550072242382725,0.819670946908779,18.767
"Abbott","F","MA",21.6003474178404,8.0125554365642,20.988,6.624,72.831,0.5490112522001,0.370945674232369,29.062
"Abbott","F","MU",15.2630144927536,6.48610872428794,14.527,0.998,40.797,0.450815720051793,0.424955943491197,20.88
"Abbott","F","RE",17.4678157894737,7.3623076288601,15.824,1.069,48.967,0.534117933074176,0.421478433113355,14.607
"Abbott","F","UM",14.5645825688073,7.36420459538191,14.268,0.314,38.352,0.498766870780604,0.505624144090039,9.097
"Abbott","F","VA",7.54098734177215,4.98751385664021,6.427,0.235,36.053,0.323973839063243,0.661387379476509,6.012
"Abbott","F","YE",14.9528855932203,5.47373567094412,14.118,2.693,30.994,0.356309842998552,0.366065508681877,14.384
